key,source,Translation,context
050E83AA4F79EACCC85B3791AE50D58B,We're close…,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03h_HackingPhase2.json
Name: DA_CM_11_TRN_S03h_HackingPhase2
Speaker: Aryana
DialogueText"
0402C5304481B8828404DE9A610FDF98,Just a little more.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03h_HackingPhase2.json
Name: DA_CM_11_TRN_S03h_HackingPhase2
Speaker: Ree
DialogueText"
25B7FE094754E2ED29DDE7A9A2FC893B,We got it! The entire control tower is ours!,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03i_HackingPhase2.json
Name: DA_CM_11_TRN_S03i_HackingPhase2
Speaker: Aryana
DialogueText"
3C30F6BB4F7A0220CB171CB8C2FD577A,They're targeting us!,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03ja_HackingPhase2.json
Name: DA_CM_11_TRN_S03ja_HackingPhase2
Speaker: Aryana
DialogueText"
9F6707944F35FF3CA96AF994686CC400,We're hit. Beam's disrupted.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03jb_HackingPhase2.json
Name: DA_CM_11_TRN_S03jb_HackingPhase2
Speaker: Aryana
DialogueText"
881B1CF9416B9CA3C1547CABFFFE737E,Too much interference.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03jc_HackingPhase2.json
Name: DA_CM_11_TRN_S03jc_HackingPhase2
Speaker: Aryana
DialogueText"
B0CE21BB4B46EFBC07F1778B941C2976,Taking damage. The beam won't hold!,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03jd_HackingPhase2.json
Name: DA_CM_11_TRN_S03jd_HackingPhase2
Speaker: Ree
DialogueText"
1132E6604F281FDAD1CB619B590D2138,Heating up! Beam's failing.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03je_HackingPhase2.json
Name: DA_CM_11_TRN_S03je_HackingPhase2
Speaker: Ree
DialogueText"
597A7E32418CA1506097FFA564AE0377,Too much heat on me!,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03jf_HackingPhase2.json
Name: DA_CM_11_TRN_S03jf_HackingPhase2
Speaker: Ree
DialogueText"
E5DD4D5C45597973DD33779CA9731DF9,Good. But we need to clear the area for phase two.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03k_HackingPhase2.json
Name: DA_CM_11_TRN_S03k_HackingPhase2
Speaker: Ree
DialogueText"
47A1695D42EE660AD450CC830D4FBADE,I'm already on it.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03k_HackingPhase2.json
Name: DA_CM_11_TRN_S03k_HackingPhase2
Speaker: Nara
DialogueText"
00ADC14143802464D4C8ABA9A5318D87,"Barrier field down, energy flow established-- and blocked!!!",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03m_OnTheDish.json
Name: DA_CM_11_TRN_S03m_OnTheDish
Speaker: Ree
DialogueText"
332C4A2243ABDE702EDA8382A9FDAF74,<IH1>Probably more Corruption Clusters…</>,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03m_OnTheDish.json
Name: DA_CM_11_TRN_S03m_OnTheDish
Speaker: Nara-Int
DialogueText"
3E68798C455F5DF29D0E908A9AADCC60,"Watch out, the lightning!",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03n_OnTheDish.json
Name: DA_CM_11_TRN_S03n_OnTheDish
Speaker: Aryana
DialogueText"
11F729734DC5B2189283D8AC8BD10DDB,It's tearing the emitter apart…,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03n_OnTheDish.json
Name: DA_CM_11_TRN_S03n_OnTheDish
Speaker: Nara
DialogueText"
0D7F1A2D4DA59B652CC433B0DC9A6A5F,At least we are protected.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03n_OnTheDish.json
Name: DA_CM_11_TRN_S03n_OnTheDish
Speaker: Forsaken
DialogueText"
C68268CF4EDF04D70E5052840520A6F4,Corruption cleared.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03o_OnTheDish.json
Name: DA_CM_11_TRN_S03o_OnTheDish
Speaker: Nara
DialogueText"
0F96B85949C6288330FC68B8FE6A9336,First energy flow released.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03o_OnTheDish.json
Name: DA_CM_11_TRN_S03o_OnTheDish
Speaker: Forsaken
DialogueText"
C1B4296D4176770ABFA616B21B8CC194,Energy level rising.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03p_OnTheDish.json
Name: DA_CM_11_TRN_S03p_OnTheDish
Speaker: Aryana
DialogueText"
4212D98A4B0264BCBC099D96547458C0,One more Corruption Cluster.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03p_OnTheDish.json
Name: DA_CM_11_TRN_S03p_OnTheDish
Speaker: Forsaken
DialogueText"
68235C4942CFE8912C79CCBFFE231A7C,All cleared!,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03q_OnTheDish.json
Name: DA_CM_11_TRN_S03q_OnTheDish
Speaker: Nara
DialogueText"
DB0A491A4D00E2874D64A9B96FB6660C,Energy levels are at full capacity!,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S03q_OnTheDish.json
Name: DA_CM_11_TRN_S03q_OnTheDish
Speaker: Aryana
DialogueText"
E160ED2A40AEFD38095DBA957C93693C,Destroy their shield's energy supply…,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05a_BattleAbove.json
Name: DA_CM_11_TRN_S05a_BattleAbove
Speaker: Forsaken
DialogueText"
62BF9C9243DEA2FDD752BEBE42DDCDBE,… and let the beam do the rest.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05a_BattleAbove.json
Name: DA_CM_11_TRN_S05a_BattleAbove
Speaker: Nara
DialogueText"
9A935B8D4FFB19646A10A5B8BB83ECFC,All energy cells destroyed.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05b_BattleAbove.json
Name: DA_CM_11_TRN_S05b_BattleAbove
Speaker: Forsaken
DialogueText"
91AF47A647C236653547A8AE5D657A5B,Taking shield supply down.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05c_BattleAbove.json
Name: DA_CM_11_TRN_S05c_BattleAbove
Speaker: Nara
DialogueText"
C471C91348BAEB8FDBF71C8E65BA937A,Energy supply down by 50%.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05d_BattleAbove.json
Name: DA_CM_11_TRN_S05d_BattleAbove
Speaker: Forsaken
DialogueText"
B55ABEAA4EAE296BD2D87BA889AE6162,<IH1>Just a few more…</>,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05e_BattleAbove.json
Name: DA_CM_11_TRN_S05e_BattleAbove
Speaker: Nara-Int
DialogueText"
CE0ED8F346203B411693D68F5C87EDAA,"We got heavy heat on us. Cult Slayer, we need your help!",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05f_Frigate1FullHP.json
Name: DA_CM_11_TRN_S05f_Frigate1FullHP
Speaker: Aystan
DialogueText"
84B3FD1A44983DDE38AE11874CB98FCB,"Copy that, Captain.",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05f_Frigate1FullHP.json
Name: DA_CM_11_TRN_S05f_Frigate1FullHP
Speaker: Nara
DialogueText"
9C8D556448CE0C6B02A8DCBAD9037151,"Nara, they're dismantling my ship! Help us!",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05g_Frigate1HalfHP.json
Name: DA_CM_11_TRN_S05g_Frigate1HalfHP
Speaker: Aystan
DialogueText"
A4AE43BD4B723B381EC333B52A44E75A,"Captain Aystan, I've got you.",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05g_Frigate1HalfHP.json
Name: DA_CM_11_TRN_S05g_Frigate1HalfHP
Speaker: Nara
DialogueText"
8B5E56074FEC2D04873A809EE691B565,"Damn it-- our core's breaking. Help, Nara! Now!!!",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05h_Frigate1Detonating.json
Name: DA_CM_11_TRN_S05h_Frigate1Detonating
Speaker: Aystan
DialogueText"
A468AED8476A5D5E468844936B0DC56A,Hang on!,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05h_Frigate1Detonating.json
Name: DA_CM_11_TRN_S05h_Frigate1Detonating
Speaker: Nara
DialogueText"
17CB747746A9833BF5D274A9592F095E,"They're veering off… for now. Thank you, Cult Slayer.",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05i_Frigate1Success.json
Name: DA_CM_11_TRN_S05i_Frigate1Success
Speaker: Aystan
DialogueText"
D96527A947050E1CB77740B86662FD04,Taking heavy damage and request immediate assistance.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05j_Frigate2FullHP.json
Name: DA_CM_11_TRN_S05j_Frigate2FullHP
Speaker: Kardoh
DialogueText"
13CA93FF4768E9A0FF635AAB06EA88C6,"Understood, Admiral.",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05j_Frigate2FullHP.json
Name: DA_CM_11_TRN_S05j_Frigate2FullHP
Speaker: Nara
DialogueText"
F618D4864A9261BAA4FDE49FEB3C52F7,Multiple hull breaches. Assist us now!,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05k_Frigate2HalfHP.json
Name: DA_CM_11_TRN_S05k_Frigate2HalfHP
Speaker: Kardoh
DialogueText"
85B8D6F54E88C2627BCABDA219F2BDFC,"I'm on it, Admiral.",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05k_Frigate2HalfHP.json
Name: DA_CM_11_TRN_S05k_Frigate2HalfHP
Speaker: Nara
DialogueText"
EB3980754CC1535D8117A797EBB02098,"All crew, evac! We're going down.",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05l_Frigate2Detonating.json
Name: DA_CM_11_TRN_S05l_Frigate2Detonating
Speaker: Kardoh
DialogueText"
6A55172640DBFECE49317C892F107E86,I gotta hurry.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05l_Frigate2Detonating.json
Name: DA_CM_11_TRN_S05l_Frigate2Detonating
Speaker: Nara
DialogueText"
48265DD04A83705A4C99B2A823B5B36B,Hostiles repelled. We can take it from here.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05m_Frigate2Success.json
Name: DA_CM_11_TRN_S05m_Frigate2Success
Speaker: Kardoh
DialogueText"
71F671A748793FDA76FEDD8CE194A155,Standing by to breach the engine room.,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05n_DoorAttack.json
Name: DA_CM_11_TRN_S05n_DoorAttack
Speaker: Aystan
DialogueText"
A7543D664DA603D42A41A687FE9A07E1,"Fire now, Captain!",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05n_DoorAttack.json
Name: DA_CM_11_TRN_S05n_DoorAttack
Speaker: Kardoh
DialogueText"
180AA4BF4FB7DBBA8464B0A51F593404,Breach confirmed!,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05o_DoorBreach.json
Name: DA_CM_11_TRN_S05o_DoorBreach
Speaker: Aystan
DialogueText"
6FF7BD924C2155DC0EC4C097BC06CBF7,"Copy, and we'll crush their reactor cores!",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05o_DoorBreach.json
Name: DA_CM_11_TRN_S05o_DoorBreach
Speaker: Nara
DialogueText"
291796E148CE368217D01C849E86F316,<IH1>Burned you…</>,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05p_Completed.json
Name: DA_CM_11_TRN_S05p_Completed
Speaker: Nara-Int
DialogueText"
342E8A38470191FDACC23D9A36975E8C,"Nara, the admiral still needs us.",,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05q_BattleAbove.json
Name: DA_CM_11_TRN_S05q_BattleAbove
Speaker: Forsaken
DialogueText"
488CD16041EA56546EED43AACB59FF48,<IH1>Right…</>,,"Mission/LocTRN01_PreRift/Dialogues/DA_CM_11_TRN_S05q_BattleAbove.json
Name: DA_CM_11_TRN_S05q_BattleAbove
Speaker: Nara-Int
DialogueText"
90AA546F4D2207B71E7369B29508E580,You don't know how to stop him.,,"Mission/LocTRN01_TravelToFrozenSouls/Dialogues/DA_LI_14_TRN_S01_Assumptions.json
Name: DA_LI_14_TRN_S01_Assumptions
Speaker: Forsaken
DialogueText"
732801454493A7D6F781CBBFBFFBA6D7,I know where to start… the Kinuuk Fields.,,"Mission/LocTRN01_TravelToFrozenSouls/Dialogues/DA_LI_14_TRN_S01_Assumptions.json
Name: DA_LI_14_TRN_S01_Assumptions
Speaker: Nara
DialogueText"
DD9E6453415F89945AE9098B39BB51A3,The Circle's most sacred ground…,,"Mission/LocTRN01_TravelToFrozenSouls/Dialogues/DA_LI_14_TRN_S02_OffWeGo.json
Name: DA_LI_14_TRN_S02_OffWeGo
Speaker: Forsaken
DialogueText"
945731674DE3F6E0387EE88AE197FCB4,<IH1>Where it all began… where the Faceless found him… and where his secrets lie.</>,,"Mission/LocTRN01_TravelToFrozenSouls/Dialogues/DA_LI_14_TRN_S02_OffWeGo.json
Name: DA_LI_14_TRN_S02_OffWeGo
Speaker: Nara-Int
DialogueText"
4216665749D2FB4B8DF90B8AF92A7F7E,You left the mission area.,,"Mission/LocTRN03_ReturnToTheResistance/MT_LocTRN03_ReturnToTheResistance.json
Name: MTAction_FailMission_2
DeathMenuText"
16203B5D48A0CEF79E854C809591AD57,Resistance hideout,,"Mission/LocTRN03_ReturnToTheResistance/MT_LocTRN03_ReturnToTheResistance.json
Name: MTQuery_ReachLocation_1
ObjectiveMarkerDisplayNameInMap"
D7E52EC748992DD24B9CE1BBC7B2AC7F,The Resistance… A tight hiding place for a fleet.,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01a_FirstVisit.json
Name: DA_LI_12A_TRN_S01a_FirstVisit
Speaker: Nara
DialogueText"
D001609C480E8437B213FC91617A2AED,The rocks' mineral composition blocks long-range sensors.,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01a_FirstVisit.json
Name: DA_LI_12A_TRN_S01a_FirstVisit
Speaker: Forsaken
DialogueText"
325DE8A844E446C77960F5B4181B35B6,They need every advantage. Their equipment… it's…,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01a_FirstVisit.json
Name: DA_LI_12A_TRN_S01a_FirstVisit
Speaker: Nara
DialogueText"
19BF40AA407D64A3A7AEBF843F5CC886,… outdated and no match for the Circle.,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01a_FirstVisit.json
Name: DA_LI_12A_TRN_S01a_FirstVisit
Speaker: Forsaken
DialogueText"
37E57F57441D58C94EF9549FD1592094,<IH1>They depend on us…</>,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01a_FirstVisit.json
Name: DA_LI_12A_TRN_S01a_FirstVisit
Speaker: Nara-Int
DialogueText"
0A5AFA30438C010BB72985BD55EC490E,"Ree, come in. How's the Rinak Haven engineer working out?",,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01b_EosCompleted.json
Name: DA_LI_12A_TRN_S01b_EosCompleted
Speaker: Nara
DialogueText"
30C571F3412E02F232807CA215273F92,Aryana? She's brilliant.,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01b_EosCompleted.json
Name: DA_LI_12A_TRN_S01b_EosCompleted
Speaker: Ree
DialogueText"
57F7CEC846CF7843ECC2D4ACB3123676,"No, Ree, <I>you're</> brilliant! We'll get her into the Rift in no time.",,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01b_EosCompleted.json
Name: DA_LI_12A_TRN_S01b_EosCompleted
Speaker: Aryana
DialogueText"
FB20F8E1419D46E7FC1E98B94B77AC84,"We're almost there, Nara. Ree, out.",,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01b_EosCompleted.json
Name: DA_LI_12A_TRN_S01b_EosCompleted
Speaker: Ree
DialogueText"
3AC592A3426010D0AC9CAB8086296D76,Over there… the Maka Haven ships.,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01c_HeliosCompleted.json
Name: DA_LI_12A_TRN_S01c_HeliosCompleted
Speaker: Nara
DialogueText"
AC121FD6404D9336E35490A4442FB6AC,All intact.,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01c_HeliosCompleted.json
Name: DA_LI_12A_TRN_S01c_HeliosCompleted
Speaker: Forsaken
DialogueText"
F6FA675945D680B0E8FE9F8903AC42FA,I hope Ree can use them.,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01c_HeliosCompleted.json
Name: DA_LI_12A_TRN_S01c_HeliosCompleted
Speaker: Nara
DialogueText"
70228CAC4B56927C09D7409D2662534F,"Nara! Attention everyone, she's here!",,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01d_ShipyardCompleted.json
Name: DA_LI_12A_TRN_S01d_ShipyardCompleted
Speaker: Aystan
DialogueText"
947241444EB0CD067629759002DB7889,Captain Aystan?,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01d_ShipyardCompleted.json
Name: DA_LI_12A_TRN_S01d_ShipyardCompleted
Speaker: Nara
DialogueText"
8096AB2E4D29372D638908BAA976BC5F,This is who saved us! It's quite a story…,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01d_ShipyardCompleted.json
Name: DA_LI_12A_TRN_S01d_ShipyardCompleted
Speaker: Aystan
DialogueText"
B545A18740CEB4C2CF095E9E49B0A5AA,"Another time, Captain.",,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01d_ShipyardCompleted.json
Name: DA_LI_12A_TRN_S01d_ShipyardCompleted
Speaker: Nara
DialogueText"
BD2A42AB4ABD391CDC973CBEE7911DDE,Of course.,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01d_ShipyardCompleted.json
Name: DA_LI_12A_TRN_S01d_ShipyardCompleted
Speaker: Aystan
DialogueText"
269A01E748CC3F8B8931AAAB15F3AF79,They need more fighters.,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01e_Reminder.json
Name: DA_LI_12A_TRN_S01e_Reminder
Speaker: Forsaken
DialogueText"
CF2CAB384901B08F96DC0E90A747DB4D,"Yes, time is running out.",,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01e_Reminder.json
Name: DA_LI_12A_TRN_S01e_Reminder
Speaker: Nara
DialogueText"
C55C40414CAADCA48F00A8A3FF7CE9F6,<IH1>We must hurry…</>,,"Mission/LocTRN03_ReturnToTheResistance/Dialogues/DA_LI_12A_TRN_S01e_Reminder.json
Name: DA_LI_12A_TRN_S01e_Reminder
Speaker: Nara-Int
DialogueText"
EAF4A6E4409EA936433A13B2ABD923CB,You left the mission area.,,"Mission/LocTRN03_ReturnToTheResistance2/MT_LocTRN03_ReturnToTheResistance2.json
Name: MTAction_FailMission_2
DeathMenuText"
7812AF04467D0D3ECB5736B37E5ED17B,Meet the armada,,"Mission/LocTRN03_ReturnToTheResistance2/MT_LocTRN03_ReturnToTheResistance2.json
Name: MTAction_MainObjective_7
Title"
263A18784E3089E813E818B0842BF4D1,Meet the armada,,"Mission/LocTRN03_ReturnToTheResistance2/MT_LocTRN03_ReturnToTheResistance2.json
Name: MTAction_MainObjective_8
Title"
E129C0CE4597C6AC8C7956B3198BF15A,Ree,,"Mission/LocTRN03_ReturnToTheResistance2/MT_LocTRN03_ReturnToTheResistance2.json
Name: MTAction_SetMissionMarkers_12
DisplayName"
1168E4FB4FB585455464BCB5AB7CCABF,Adm. Kardoh,,"Mission/LocTRN03_ReturnToTheResistance2/MT_LocTRN03_ReturnToTheResistance2.json
Name: MTAction_SetMissionMarkers_13
DisplayName"
A8F2DF0A4BE5888DDE0E759B9FBCA2DA,Report to Adm. Kardoh,,"Mission/LocTRN03_ReturnToTheResistance2/MT_LocTRN03_ReturnToTheResistance2.json
Name: MTAction_SubObjective_4
Text"
2C6068FA40D12B77255BFD931A8707A4,Adm. Kardoh,,"Mission/LocTRN03_ReturnToTheResistance2/MT_LocTRN03_ReturnToTheResistance2.json
Name: MTQuery_ReachLocation_2
ObjectiveMarkerDisplayNameInMap"
ECC43F3143D31A55E78DD5BA804A6FD0,There she is!,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S01_AllCompleted.json
Name: DA_LI_12B_TRN_S01_AllCompleted
Speaker: Aryana
DialogueText"
058AAFDE49DB0910371319BB5C06206B,The Cult Slayer! Over there!,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S01_AllCompleted.json
Name: DA_LI_12B_TRN_S01_AllCompleted
Speaker: Kya
DialogueText"
8BB553774F70ECBDBE039CBB80F88590,"A lot of grateful people here, Nara!",,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S01_AllCompleted.json
Name: DA_LI_12B_TRN_S01_AllCompleted
Speaker: Aryana
DialogueText"
0451D6824FBC5049D6A095A085D6CFCA,Listen to them. They look up to you!,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S01_AllCompleted.json
Name: DA_LI_12B_TRN_S01_AllCompleted
Speaker: Ree
DialogueText"
14089A574830F8BA25B82C8B345968AF,I never wanted this…,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S01_AllCompleted.json
Name: DA_LI_12B_TRN_S01_AllCompleted
Speaker: Nara
DialogueText"
447889BE4639981363266CB707BB3D69,But you'll need their support.,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S01_AllCompleted.json
Name: DA_LI_12B_TRN_S01_AllCompleted
Speaker: Ree
DialogueText"
57CD21D94F082FF1073985A5A92663E1,It's time to have that talk.,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S01_AllCompleted.json
Name: DA_LI_12B_TRN_S01_AllCompleted
Speaker: Kardoh
DialogueText"
78A4E435482DF5BB233D73886DC0F388,"Yes, Admiral.",,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S01_AllCompleted.json
Name: DA_LI_12B_TRN_S01_AllCompleted
Speaker: Nara
DialogueText"
7EC3BE15467C2EB4C256FF8A796CCD46,"So… ""Nara.""",,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02a_CutStartingOut.json
Name: DA_LI_12B_TRN_S02a_CutStartingOut
Speaker: Kardoh
DialogueText"
DE09EF1B4E5E98F6DC317284106D367B,You really want to kill your former master…,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02a_CutStartingOut.json
Name: DA_LI_12B_TRN_S02a_CutStartingOut
Speaker: Kardoh
DialogueText"
FE74AFF04B63DDE346922A9722842DF1,Will this Rift lead to him?,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02a_CutStartingOut.json
Name: DA_LI_12B_TRN_S02a_CutStartingOut
Speaker: Kardoh
DialogueText"
2E4B64B648E557ACD81186A00BA98028,I don't know.,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02a_CutStartingOut.json
Name: DA_LI_12B_TRN_S02a_CutStartingOut
Speaker: Nara
DialogueText"
24A306F344894F3577F4B78917EB91F2,"But, if I don't close it right now, everything you ever fought for ends.",,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02a_CutStartingOut.json
Name: DA_LI_12B_TRN_S02a_CutStartingOut
Speaker: Nara
DialogueText"
F9CF5B3E466DD9206ECA5EA5759AC641,I see.,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02a_CutStartingOut.json
Name: DA_LI_12B_TRN_S02a_CutStartingOut
Speaker: Kardoh
DialogueText"
DF3D651C4C634E37B092B5838E3BC9B3,"Everyone, set course for the Inura Installation.",,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02b_CutStartingOut.json
Name: DA_LI_12B_TRN_S02b_CutStartingOut
Speaker: Kardoh
DialogueText"
62DA2E9C404C4012F7447A8525540383,"In the meantime, Aryana and I will take control of its laser.",,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02b_CutStartingOut.json
Name: DA_LI_12B_TRN_S02b_CutStartingOut
Speaker: Ree
DialogueText"
F76C4E804A2CF3609162AAAD193E889C,And I'm your escort.,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02b_CutStartingOut.json
Name: DA_LI_12B_TRN_S02b_CutStartingOut
Speaker: Nara
DialogueText"
01CE9C3F48767A7494B6319039B7707A,"Exactly. They'll modify the emitter tower, and the Resistance will have your back.",,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02b_CutStartingOut.json
Name: DA_LI_12B_TRN_S02b_CutStartingOut
Speaker: Kardoh
DialogueText"
BE1EBB9C4FB0EBC96D953EAA63719745,"On my signal, we'll carve a passage into that Rift.",,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02c_CutStartingOut.json
Name: DA_LI_12B_TRN_S02c_CutStartingOut
Speaker: Ree
DialogueText"
D94EE8E74A0D4B13C704ED8C54D96C0B,It will only be open for a few seconds.,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02c_CutStartingOut.json
Name: DA_LI_12B_TRN_S02c_CutStartingOut
Speaker: Kardoh
DialogueText"
5A70F71D48C559981B62E7939696426A,That's all I need. I'll get through.,,"Mission/LocTRN03_ReturnToTheResistance2/Dialogues/DA_LI_12B_TRN_S02c_CutStartingOut.json
Name: DA_LI_12B_TRN_S02c_CutStartingOut
Speaker: Nara
DialogueText"
NPCRevealInfo_Bulletpoints_FacelessDrone_1,Channels destructive beam,,"Mission/LocTRN09_RiftInvestigation/MT_LocTRN09_RiftInvestigation.json
Name: MTAction_CameraHint_C_0
null"
NPCRevealInfo_Bulletpoints_FacelessSupport_1,Shields its nearby allies,,"Mission/LocTRN09_RiftInvestigation/MT_LocTRN09_RiftInvestigation.json
Name: MTAction_CameraHint_C_1
null"
NPCRevealInfo_Bulletpoints_FacelessSupport_2,Deploys mines,,"Mission/LocTRN09_RiftInvestigation/MT_LocTRN09_RiftInvestigation.json
Name: MTAction_CameraHint_C_1
null"
13A1F89C48BB612FCCCAB8AE66484A99,You failed to protect the Resistance ships.,,"Mission/LocTRN09_RiftInvestigation/MT_LocTRN09_RiftInvestigation.json
Name: MTAction_FailMission_0
DeathMenuText"
